attack,snr,defense,accuracy,n_samples
fgsm,2,adaptive_k,0.4059090909090909,2200
fgsm,2,spectral_gated,0.38181818181818183,2200
fgsm,2,kalman,0.33045454545454545,2200
fgsm,2,wiener,0.3059090909090909,2200
fgsm,2,savitzky_golay,0.305,2200
fgsm,2,gaussian,0.30227272727272725,2200
fgsm,2,fir,0.295,2200
fgsm,2,rand_smooth,0.315,2200
fgsm,4,no_defense,0.4536363636363636,2200
fgsm,4,adaptive_k_v2_snr,0.5081818181818182,2200
fgsm,4,adaptive_k,0.5113636363636364,2200
fgsm,4,spectral_gated,0.4536363636363636,2200
fgsm,4,kalman,0.42272727272727273,2200
fgsm,4,wiener,0.40136363636363637,2200
fgsm,4,savitzky_golay,0.395,2200
fgsm,4,gaussian,0.4009090909090909,2200
fgsm,4,fir,0.4036363636363636,2200
fgsm,4,rand_smooth,0.3,2200
fgsm,6,no_defense,0.47545454545454546,2200
fgsm,6,adaptive_k_v2_snr,0.5395454545454546,2200
fgsm,6,adaptive_k,0.5427272727272727,2200
fgsm,6,spectral_gated,0.4772727272727273,2200
fgsm,6,kalman,0.46636363636363637,2200
fgsm,6,wiener,0.4536363636363636,2200
fgsm,6,savitzky_golay,0.45,2200
fgsm,6,gaussian,0.45181818181818184,2200
fgsm,6,fir,0.44363636363636366,2200
fgsm,6,rand_smooth,0.31,2200
fgsm,8,no_defense,0.5031818181818182,2200
fgsm,8,adaptive_k_v2_snr,0.5595454545454546,2200
fgsm,8,adaptive_k,0.5618181818181818,2200
fgsm,8,spectral_gated,0.5,2200
fgsm,8,kalman,0.5009090909090909,2200
fgsm,8,wiener,0.49,2200
fgsm,8,savitzky_golay,0.4868181818181818,2200
fgsm,8,gaussian,0.485,2200
fgsm,8,fir,0.4959090909090909,2200
fgsm,8,rand_smooth,0.29409090909090907,2200
fgsm,10,no_defense,0.5236363636363637,2200
fgsm,10,adaptive_k_v2_snr,0.5745454545454546,2200
fgsm,10,adaptive_k,0.5763636363636364,2200
fgsm,10,spectral_gated,0.5259090909090909,2200
fgsm,10,kalman,0.5290909090909091,2200
fgsm,10,wiener,0.5245454545454545,2200
fgsm,10,savitzky_golay,0.5172727272727272,2200
fgsm,10,gaussian,0.5204545454545455,2200
fgsm,10,fir,0.53,2200
fgsm,10,rand_smooth,0.3145454545454546,2200
fgsm,12,no_defense,0.5227272727272727,2200
fgsm,12,adaptive_k_v2_snr,0.5740909090909091,2200
fgsm,12,adaptive_k,0.5713636363636364,2200
fgsm,12,spectral_gated,0.5263636363636364,2200
fgsm,12,kalman,0.5272727272727272,2200
fgsm,12,wiener,0.53,2200
fgsm,12,savitzky_golay,0.5295454545454545,2200
fgsm,12,gaussian,0.5268181818181819,2200
fgsm,12,fir,0.5209090909090909,2200
fgsm,12,rand_smooth,0.3059090909090909,2200
fgsm,14,no_defense,0.5372727272727272,2200
fgsm,14,adaptive_k_v2_snr,0.58,2200
fgsm,14,adaptive_k,0.5777272727272728,2200
fgsm,14,spectral_gated,0.54,2200
fgsm,14,kalman,0.54,2200
fgsm,14,wiener,0.5381818181818182,2200
fgsm,14,savitzky_golay,0.54,2200
fgsm,14,gaussian,0.5345454545454545,2200
fgsm,14,fir,0.5409090909090909,2200
fgsm,14,rand_smooth,0.3,2200
fgsm,16,no_defense,0.5681818181818182,2200
fgsm,16,adaptive_k_v2_snr,0.5909090909090909,2200
fgsm,16,adaptive_k,0.5918181818181818,2200
fgsm,16,spectral_gated,0.5695454545454546,2200
