attack,mod,snr,fec,scenario,crc_pass_rate,amc_acc
eadl1,QPSK,18,True,Clean+Top50,1.0,-1
eadl1,8PSK,18,False,Clean,1.0,0.945
eadl1,8PSK,18,False,Clean+AMC,0.945,0.945
eadl1,8PSK,18,False,EADL1,1.0,0.0
eadl1,8PSK,18,False,EADL1+AMC,0.005,0.0
eadl1,8PSK,18,False,EADL1+Top10,0.09,0.0
eadl1,8PSK,18,False,EADL1+Top10+AMC,0.01,0.0
eadl1,8PSK,18,False,Clean+Top10,0.09,-1
eadl1,8PSK,18,False,EADL1+Top20,1.0,0.27
eadl1,8PSK,18,False,EADL1+Top20+AMC,0.28,0.27
eadl1,8PSK,18,False,Clean+Top20,1.0,-1
eadl1,8PSK,18,False,EADL1+Top50,1.0,0.325
eadl1,8PSK,18,False,EADL1+Top50+AMC,0.325,0.325
eadl1,8PSK,18,False,Clean+Top50,1.0,-1
eadl1,8PSK,18,True,Clean,1.0,0.96
eadl1,8PSK,18,True,Clean+AMC,0.96,0.96
eadl1,8PSK,18,True,EADL1,1.0,0.0
eadl1,8PSK,18,True,EADL1+AMC,0.0,0.0
eadl1,8PSK,18,True,EADL1+Top10,0.99,0.0
eadl1,8PSK,18,True,EADL1+Top10+AMC,0.005,0.0
eadl1,8PSK,18,True,Clean+Top10,0.985,-1
eadl1,8PSK,18,True,EADL1+Top20,1.0,0.25
eadl1,8PSK,18,True,EADL1+Top20+AMC,0.25,0.25
eadl1,8PSK,18,True,Clean+Top20,1.0,-1
eadl1,8PSK,18,True,EADL1+Top50,1.0,0.26
eadl1,8PSK,18,True,EADL1+Top50+AMC,0.26,0.26
eadl1,8PSK,18,True,Clean+Top50,1.0,-1
eadl1,QAM16,18,False,Clean,1.0,0.775
eadl1,QAM16,18,False,Clean+AMC,0.775,0.775
eadl1,QAM16,18,False,EADL1,1.0,0.0
eadl1,QAM16,18,False,EADL1+AMC,0.005,0.0
eadl1,QAM16,18,False,EADL1+Top10,0.01,0.065
eadl1,QAM16,18,False,EADL1+Top10+AMC,0.01,0.065
eadl1,QAM16,18,False,Clean+Top10,0.01,-1
eadl1,QAM16,18,False,EADL1+Top20,0.915,0.28
eadl1,QAM16,18,False,EADL1+Top20+AMC,0.245,0.28
eadl1,QAM16,18,False,Clean+Top20,0.93,-1
eadl1,QAM16,18,False,EADL1+Top50,1.0,0.355
eadl1,QAM16,18,False,EADL1+Top50+AMC,0.36,0.355
eadl1,QAM16,18,False,Clean+Top50,1.0,-1
eadl1,QAM16,18,True,Clean,1.0,0.725
eadl1,QAM16,18,True,Clean+AMC,0.725,0.725
eadl1,QAM16,18,True,EADL1,1.0,0.0
eadl1,QAM16,18,True,EADL1+AMC,0.005,0.0
eadl1,QAM16,18,True,EADL1+Top10,0.91,0.08
eadl1,QAM16,18,True,EADL1+Top10+AMC,0.085,0.08
eadl1,QAM16,18,True,Clean+Top10,0.905,-1
eadl1,QAM16,18,True,EADL1+Top20,1.0,0.32
eadl1,QAM16,18,True,EADL1+Top20+AMC,0.32,0.32
eadl1,QAM16,18,True,Clean+Top20,1.0,-1
eadl1,QAM16,18,True,EADL1+Top50,1.0,0.35
eadl1,QAM16,18,True,EADL1+Top50+AMC,0.355,0.35
eadl1,QAM16,18,True,Clean+Top50,1.0,-1
eadl1,QAM64,18,False,Clean,0.935,0.97
eadl1,QAM64,18,False,Clean+AMC,0.905,0.97
eadl1,QAM64,18,False,EADL1,0.87,0.0
eadl1,QAM64,18,False,EADL1+AMC,0.005,0.0
eadl1,QAM64,18,False,EADL1+Top10,0.0,0.915
eadl1,QAM64,18,False,EADL1+Top10+AMC,0.0,0.915
eadl1,QAM64,18,False,Clean+Top10,0.0,-1
eadl1,QAM64,18,False,EADL1+Top20,0.36,0.93
eadl1,QAM64,18,False,EADL1+Top20+AMC,0.335,0.93
eadl1,QAM64,18,False,Clean+Top20,0.45,-1
eadl1,QAM64,18,False,EADL1+Top50,0.81,0.88
eadl1,QAM64,18,False,EADL1+Top50+AMC,0.71,0.88
eadl1,QAM64,18,False,Clean+Top50,0.865,-1
eadl1,QAM64,18,True,Clean,1.0,0.925
eadl1,QAM64,18,True,Clean+AMC,0.925,0.925
eadl1,QAM64,18,True,EADL1,1.0,0.0
eadl1,QAM64,18,True,EADL1+AMC,0.01,0.0
eadl1,QAM64,18,True,EADL1+Top10,0.225,0.955
eadl1,QAM64,18,True,EADL1+Top10+AMC,0.21,0.955
eadl1,QAM64,18,True,Clean+Top10,0.225,-1
eadl1,QAM64,18,True,EADL1+Top20,0.99,0.875
eadl1,QAM64,18,True,EADL1+Top20+AMC,0.865,0.875
eadl1,QAM64,18,True,Clean+Top20,0.99,-1
eadl1,QAM64,18,True,EADL1+Top50,1.0,0.84
eadl1,QAM64,18,True,EADL1+Top50+AMC,0.84,0.84
eadl1,QAM64,18,True,Clean+Top50,1.0,-1
eadl1,PAM4,18,False,Clean,1.0,1.0
eadl1,PAM4,18,False,Clean+AMC,1.0,1.0
eadl1,PAM4,18,False,EADL1,0.975,0.0
eadl1,PAM4,18,False,EADL1+AMC,0.005,0.0
eadl1,PAM4,18,False,EADL1+Top10,0.07,0.895
eadl1,PAM4,18,False,EADL1+Top10+AMC,0.07,0.895
